employee_name,user_id_x,email,role,business_unit,functional_unit,department,team,supervisor,user_type,user_id_y,o_score,c_score,e_score,a_score,n_score,join_date,last_active,user_id
Kermit Beau Leach,KBL0260,Kermit.Beau.Leach@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,Employee,KBL0260,16,15,48,16,32,2021-01-01,2024-07-08 19:50:38.956628,f22f6e636cde478a8db4ea2af54bba6cd1c61c08083954f133f4ef85b3376dc5
Geoffrey Harlan Lara,GHL0460,Geoffrey.Harlan.Lara@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,GHL0460,21,37,24,17,35,2021-01-01,2024-07-08 19:50:38.956628,e51b6ee9c903cae4b9a561833be6fc02d0e56c465e867c411706567497547718
Flynn Malcolm Gibson,FMG0527,Flynn.Malcolm.Gibson@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,Employee,FMG0527,43,38,35,38,28,2021-01-01,2024-07-08 19:50:38.956628,c76b2b45340484fab623b19a96285beb4217ca080a2cf14ec423562f6fa74f93
Heather Cynthia Leonard,HCL0651,Heather.Cynthia.Leonard@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,Employee,HCL0651,21,19,44,36,33,2021-01-01,2024-07-08 19:50:38.956628,4a490fa2ff0f3afef1812c0a68cc795c9571ffb07b7ad5c0d471d9d343af83bd
Shannon Chantale Price,SCP0130,Shannon.Chantale.Price@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Delilah Iliana Wilkinson,Employee,SCP0130,42,18,35,32,24,2021-01-01,2024-07-08 19:50:38.956628,a8373ea6e0d7abd2f1c58f35daae8b3846264896ea6d6bd0b68bd4cefdd50b4c
Castor Mark Wolf,CMW0783,Castor.Mark.Wolf@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,Employee,CMW0783,21,35,14,16,26,2021-01-01,2024-07-08 19:50:38.956628,6d194431d2a3e0b5e40de71fe4f772ebbf411013f6170758060dbcddd874b050
Ryan Kelly Frost,RKF0164,Ryan.Kelly.Frost@dtaa.com,Statistician,1,5 - SalesAndMarketing,1 - MarketAnalysis,nan,Dacey Jorden Bowen,Employee,RKF0164,40,42,17,18,42,2021-01-01,2024-07-08 19:50:38.956628,2dc2ad671ff98fb14c49588852ab1e52c2d966db39c92c0fee5e013e3541d265
Damian Omar Le,DOL0332,Damian.Omar.Le@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,Employee,DOL0332,32,40,41,18,24,2021-01-01,2024-07-08 19:50:38.956628,87379d838e373113df2dbbd4f50ed456be8c915a8ed6f264dd89ab0a66a6731b
Robert Samuel Chen,RSC0089,Robert.Samuel.Chen@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,Employee,RSC0089,41,26,35,21,29,2021-01-01,2024-07-08 19:50:38.956628,f349b63db33355d7e6d07ab6f68266ed30e40c569bffbe10501b81e5d35e4587
Cailin Casey Mckee,CCM0136,Cailin.Casey.Mckee@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,Employee,CCM0136,16,16,39,40,29,2021-01-01,2024-07-08 19:50:38.956628,7ef7d1c8e03963f03b41f86bdf343d003572c7a65db4a77a7bb5d1c07b1b4cd2
Nina Camille Hodges,NCH0179,Nina.Camille.Hodges@dtaa.com,AdministrativeAssistant,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,Employee,NCH0179,17,12,40,17,25,2021-01-01,2024-07-08 19:50:38.956628,eb1e5748290041d33e555f9f3fe884bc8d740f638ace9f997be1579763b6eabd
Nicolas Brandon Hendrix,NBH0256,Nicolas.Brandon.Hendrix@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,Employee,NBH0256,41,43,14,21,22,2021-01-01,2024-07-08 19:50:38.956628,02e5c6f7e9becc51432f3861a7bf9aa22ebda7fa1e0bbc676d5c5ccb38e900a8
Olivia Rose Galloway,ORG0339,Olivia.Rose.Galloway@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,Employee,ORG0339,50,28,46,47,20,2021-01-01,2024-07-08 19:50:38.956628,40dc0fce23a520b770ab89e6b88348067426a6deccac326491aa429c93760312
Forrest Rashad Richards,FRR0832,Forrest.Rashad.Richards@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,Employee,FRR0832,43,40,25,19,30,2021-01-01,2024-07-08 19:50:38.956628,d42f95f8d932ababacfd9251bfbf351bdc319a94ea1d8cc1aca5baddeee02e24
Miriam Shoshana Donovan,MSD0939,Miriam.Shoshana.Donovan@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,Employee,MSD0939,24,37,15,42,31,2021-01-01,2024-07-08 19:50:38.956628,35a45a8ea06144bd9716d168a5627dc1c9fba009ac188265a73a549dd4c1ba40
Olivia Quynn Hardy,OQH0183,Olivia.Quynn.Hardy@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,Employee,OQH0183,34,38,18,33,23,2021-01-01,2024-07-08 19:50:38.956628,f0cd6251a77cba5c5641356fe5530f0c7ff33143722dcf4bbc29ed4620c9b483
Bethany Stephanie Haynes,BSH0445,Bethany.Stephanie.Haynes@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,Employee,BSH0445,38,22,30,15,21,2021-01-01,2024-07-08 19:50:38.956628,1f932f0e2c189c75d40d7ba54d7a17164252d91bfc606d59f1430450d93c3f34
Kennedy Shad Parker,KSP0357,Kennedy.Shad.Parker@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,Employee,KSP0357,41,40,29,19,24,2021-01-01,2024-07-08 19:50:38.956628,59cec44e885bc7004920e0d6bdea80fa5fa9dde749495ff37199e3099bd305bb
Nigel Gareth Ochoa,NGO0690,Nigel.Gareth.Ochoa@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,Employee,NGO0690,43,41,41,17,24,2021-01-01,2024-07-08 19:50:38.956628,b56206bdfc3c05e20037a87e491c7e2c2440bbd177f74edb7d78c4f8714bc2e2
Vincent Craig Cunningham,VCC0396,Vincent.Craig.Cunningham@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,Employee,VCC0396,21,45,16,37,23,2021-01-01,2024-07-08 19:50:38.956628,db150e683bb0346dee5f684a658d1292c566a9020627bad530deb4b194a9bb08
Wesley Dustin Dickerson,WDD0366,Wesley.Dustin.Dickerson@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,Employee,WDD0366,43,42,17,19,28,2021-01-01,2024-07-08 19:50:38.956628,3e20774270d19fb06b68760b5acede4d0533f14118989fc40e7d7cf5d899db31
Kai Penelope Peck,KPP0452,Kai.Penelope.Peck@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,Employee,KPP0452,44,46,44,16,19,2021-01-01,2024-07-08 19:50:38.956628,2ea845cfbef6346b3800d29a88b2256bd24f35eac1bb7d80f3d06f7bcbd7bd7a
Raymond Tate Osborne,RTO0313,Raymond.Tate.Osborne@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,Employee,RTO0313,44,45,25,17,27,2021-01-01,2024-07-08 19:50:38.956628,a52129d3da0366778073eea349947dd5a805342b58be6ae30953b7abd228e682
Ariel Bertha Murphy,ABM0845,Ariel.Bertha.Murphy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,Employee,ABM0845,45,21,35,50,29,2021-01-01,2024-07-08 19:50:38.956628,17c0b307546cafd4ccb7e5f6d66c6b442b23545b329485ed2c8faab69d88960b
Vance Ira Alston,VIA0063,Vance.Ira.Alston@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Todd Vance Spears,Employee,VIA0063,40,34,19,50,33,2021-01-01,2024-07-08 19:50:38.956628,190bcb8f0e08e16b0c1d169bdba2ea2c4dda39e52a5ac251bc0984ec958606fd
Benjamin Ignatius Hooper,BIH0745,Benjamin.Ignatius.Hooper@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,Employee,BIH0745,43,39,50,27,25,2021-01-01,2024-07-08 19:50:38.956628,9dab01e621fa92d48d12e965c6503189f6eb10681681c659f377e62160efdbe5
Clinton Coby Wolfe,CCW0031,Clinton.Coby.Wolfe@dtaa.com,Manager,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Fatima Ulla Mcclure,Employee,CCW0031,33,47,30,39,33,2021-01-01,2024-07-08 19:50:38.956628,8e7580148f6a5e3e4967c89c5ef0aad0fcf7d5cf3ca8d1e932cc134b41fc3a61
Illana Yvette Bradshaw,IYB0918,Illana.Yvette.Bradshaw@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,Employee,IYB0918,17,21,42,14,30,2021-01-01,2024-07-08 19:50:38.956628,6f0b08d066635af8511bda8d68145faf20d0db6933d3dbef95d3b1c07c63d05e
Orla Ruth Mckenzie,ORM0669,Orla.Ruth.Mckenzie@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,Employee,ORM0669,44,39,28,39,36,2021-01-01,2024-07-08 19:50:38.956628,981b624c2876e27c62c1507897dd10bae17d79a1dd69a0a1e6f0dd5de07dd9d8
Mikayla Jaden Barron,MJB0588,Mikayla.Jaden.Barron@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,Employee,MJB0588,39,24,15,47,38,2021-01-01,2024-07-08 19:50:38.956628,3c6267b2f4cec802a8361acbe1e64141b8b502e7043c81c0fd9554a8dd04b8bf
Arthur Lucian Bonner,ALB0892,Arthur.Lucian.Bonner@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,Employee,ALB0892,25,19,44,22,30,2021-01-01,2024-07-08 19:50:38.956628,55accf70850b839758d0299f763c1d9064497d3577bd39663ff0065b5d818363
Leah Idola Moran,LIM0674,Leah.Idola.Moran@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,Employee,LIM0674,18,13,35,49,20,2021-01-01,2024-07-08 19:50:38.956628,c2cb48cb31ae24d9e06abf19454d5d9ff21a8bb4919c4a9c4ba92b185a459ab0
Lacota Helen Nash,LHN0151,Lacota.Helen.Nash@dtaa.com,Accountant,1,4 - Finance,1 - Accounting,nan,Cedric Herrod Gilliam,Employee,LHN0151,13,15,19,32,26,2021-01-01,2024-07-08 19:50:38.956628,65985efc4798351ee5e282338fb15f48463ec212bb4d948d4d7185801288eeb5
William Theodore Reeves,WTR0563,William.Theodore.Reeves@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,Employee,WTR0563,47,45,46,15,31,2021-01-01,2024-07-08 19:50:38.956628,70601a7f35100241c7ab6fe6c0e2cfbabe05a3febd702d6ea2a49790c7c24eff
MacKenzie Kristen Stewart,MKS0204,MacKenzie.Kristen.Stewart@dtaa.com,Attorney,1,6 - PurchasingAndContracts,3 - Contracts,nan,Whoopi Britanney Camacho,Employee,MKS0204,21,30,21,16,31,2021-01-01,2024-07-08 19:50:38.956628,2fae93abf1795d3f1240e0cddc3799c530244fe457470c8c194388155ee97544
Armando Albert Walter,AAW0353,Armando.Albert.Walter@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Delilah Iliana Wilkinson,Employee,AAW0353,49,45,19,25,34,2021-01-01,2024-07-08 19:50:38.956628,0b6f3f559e965a1585c179dff4bc7592221a033857fb9aa38ed7423bef4e67b0
Willow Jaime Daniel,WJD0576,Willow.Jaime.Daniel@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,Employee,WJD0576,40,20,23,38,26,2021-01-01,2024-07-08 19:50:38.956628,c6f437afeedff02a4b24ee9c3687d6af080358fed6e2a84b7799575f4686a987
Irene Lacota Huffman,ILH0958,Irene.Lacota.Huffman@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,Employee,ILH0958,28,17,20,19,24,2021-01-01,2024-07-08 19:50:38.956628,487c070ae8d5501ceae28efec59a06c6d530669ac70dd2ac722dd0f37de77237
Tallulah Liberty Kirby,TLK0993,Tallulah.Liberty.Kirby@dtaa.com,IndustrialEngineer,1,3 - Manufacturing,1 - IndustrialEngineering,nan,Grant Tyrone Doyle,Employee,TLK0993,41,36,40,35,22,2021-01-01,2024-07-08 19:50:38.956628,729078466b49945ac7400cfbb450b811124931d3c2aaf0b913cb7b86f6cc0622
William Aladdin Bennett,WAB0143,William.Aladdin.Bennett@dtaa.com,Statistician,1,3 - Manufacturing,4 - QualityControl,nan,Kimberley Kiona Sosa,Employee,WAB0143,43,43,24,22,33,2021-01-01,2024-07-08 19:50:38.956628,42ac026044af20e046b7c435d92b9ba0620627fea713ab90a3336b030f30e50d
Rashad Aristotle Guerrero,RAG0275,Rashad.Aristotle.Guerrero@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,Employee,RAG0275,23,38,35,41,32,2021-01-01,2024-07-08 19:50:38.956628,a992b5d6bd45a4b7872bef55a8940cfc04a80a398cc4203ab5df807832e49c48
Leilani Quail Callahan,LQC0479,Leilani.Quail.Callahan@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,Employee,LQC0479,27,38,34,17,36,2021-01-01,2024-07-08 19:50:38.956628,83ae3e99a4860420608437c60fecd10464fbd0127d0787f686d31eb732da40ac
Kai Wynne Craft,KWC0004,Kai.Wynne.Craft@dtaa.com,VicePresident,1,2 - ResearchAndEngineering,nan,nan,Mona Susan Shannon,Employee,KWC0004,23,38,39,20,27,2021-01-01,2024-07-08 19:50:38.956628,ddc4f36e8b0cc149aeec93acf7a2464afb36a77a9bc756984b8c17370687fb73
Cora Jane Kinney,CJK0200,Cora.Jane.Kinney@dtaa.com,PurchasingClerk,1,6 - PurchasingAndContracts,2 - Pricing,nan,Eugenia Whilemina Harrington,Employee,CJK0200,40,29,24,38,31,2021-01-01,2024-07-08 19:50:38.956628,71c6c3814ee15ce63621a841b73571f93d9c6cd35bf1f7b5bf7acc1d5de07db0
Flynn Edward Brennan,FEB0306,Flynn.Edward.Brennan@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,Employee,FEB0306,40,42,26,25,31,2021-01-01,2024-07-08 19:50:38.956628,18fd55e1587badf0be647f26895c1ce400d7d466909896b587d36ddbaa036257
Indira Jocelyn Mack,IJM0776,Indira.Jocelyn.Mack@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,Employee,IJM0776,41,35,19,41,32,2021-01-01,2024-07-08 19:50:38.956628,519d914813492ce2237c97616c86ed9ecc4ee09176bc4201db64a106f3fbcf22
Nicolas Kadeem Hayden,NKH0807,Nicolas.Kadeem.Hayden@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,Employee,NKH0807,45,44,40,22,20,2021-01-01,2024-07-08 19:50:38.956628,e2b5ee5547275905fee90b3e8dc5b9230d3c649f31e02544615274b51a3b6a8a
Jade Maris Coleman,JMC0925,Jade.Maris.Coleman@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,Employee,JMC0925,33,10,23,19,31,2021-01-01,2024-07-08 19:50:38.956628,ea1f70c2661411bdd999bb0bfaa0f6f86b34bd7a2e90eb266b71ec30574d3715
Stephanie Briar Harrington,SBH0537,Stephanie.Briar.Harrington@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Todd Vance Spears,Employee,SBH0537,34,21,14,13,33,2021-01-01,2024-07-08 19:50:38.956628,d9914ec05b8f3495c12bbd6c61694447943219267c3c98c95a61fac68868c3b3
