interaction_id,from_user_id,to_user_id,activity_id,interaction_type,timestamp
d3a1d129-c301-4d49-a22c-9b9b4ece479b,LAP0338,unknown,799291d6-670f-44a3-baa9-904e992d856b,http,01/02/2010 07:14:12
97a41227-677e-4018-ae61-cda5b24ef0c8,LAP0338,unknown,5f841008-f160-4679-b5ca-2e3dda92f013,http,01/02/2010 07:14:13
5dd940f4-de96-4fbb-ac4c-e019770fc520,LAP0338,unknown,71eb37d7-96a5-488c-8bce-680a4da82661,http,01/02/2010 07:14:28
e79b99c2-db06-42e9-8f11-1605d40f81d8,MOH0273,unknown,904fc4f6-54f2-48c3-b3e4-b1ef69e7ccdc,file,01/02/2010 07:23:14
da54c989-adca-411b-a8f4-427653f7ee74,MOH0273,unknown,f96f0625-42d2-4e23-930d-283ba854e3d1,file,01/02/2010 07:26:19
c9cdfd2e-460a-4441-82f8-13d5cd186626,HPH0075,unknown,ccb376ef-7bab-48db-9658-3f5e95263d4e,file,01/02/2010 08:12:03
5b00582f-9a15-4a4c-be0a-ab72ba700a87,HPH0075,unknown,c9fdbc6f-eeec-4079-a2bf-81caf12295be,file,01/02/2010 08:17:00
d6313acc-af04-4426-82ed-62d7d8e0b71f,HSB0196,unknown,27a48593-2c89-4546-82b2-a830957801b9,file,01/02/2010 08:24:57
6dafed29-412f-488d-a0f8-5deaf993a704,RRC0553,unknown,2fb8bf40-6ef6-4bc4-9cbb-cbbd0dc6c2fc,file,01/02/2010 08:26:49
9a68583c-de3d-4cb0-a5e2-db4b6c6aa6a8,RRC0553,unknown,731a02d9-d40b-4010-a8fa-27c90b2b29f5,file,01/02/2010 08:27:27
cded3fd3-efed-4a06-9df7-20e17fb9b0a0,RRC0553,unknown,f2d77268-6727-4856-9f0c-43bdc9b542e2,file,01/02/2010 08:27:37
1bed06bc-53d0-4792-bfb1-eaa935d5b865,LAP0338,Dean.Flynn.Hines@dtaa.com;Wade_Harrison@lockheedmartin.com,122e2a0c-05a4-46b2-8852-a70729dae8b8,email,01/02/2010 07:11:45
feec2309-b33d-4594-8394-0072515015a7,MOH0273,Odonnell-Gage@bellsouth.net,7102af12-dd59-44dd-b062-e48eefeea2ab,email,01/02/2010 07:12:16
6c9a6c46-699f-43fb-b88e-94e7c006d253,LAP0338,Penelope_Colon@netzero.com,3ecb97b5-44eb-4ad5-b9d7-58b18793f92b,email,01/02/2010 07:13:00
ecf0702e-2e22-4123-b69d-337f6138253d,LAP0338,Judith_Hayden@comcast.net,9d0a03c9-204c-4009-bc05-bd18b8305d1e,email,01/02/2010 07:13:17
495efc45-af41-425d-a4ab-972f710dfb5f,MOH0273,Bond-Raymond@verizon.net;Alea_Ferrell@msn.com;Jane_Mcdonald@juno.com,e083dc28-e6ed-4abb-ae8c-6321c4d4dac5,email,01/02/2010 07:13:28
cb9cb780-e37b-43e6-8ad9-bea9bb62e6e7,HVB0037,Gaines-Joseph@msn.com,5e290869-6c95-4dd2-85ac-1b3d858e772a,email,01/02/2010 07:36:03
9d575547-5f39-411a-a726-8a60f5499ce8,NWK0215,Heidi_Wilson@msn.com;Rowan_N_Parks@juno.com,32cbf8c6-10c3-40e4-a40b-934a9508553f,email,01/02/2010 07:52:20
7afa8413-e5b9-4722-bea6-f71fce40e25b,LRR0148,Eve.Isadora.Mckenzie@dtaa.com,0616ea0e-8167-4b15-857b-71c6ca76eded,email,01/02/2010 07:54:12
